Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,-0.0325,1.192093E-07,0,-6.760629E-10,0.7071068,6.76063E-10,0.9999999,1.912195E-09,-1.192093E-07,-0.00633885,1.134387,0.004251605,0.02592003,-0.1662609,0.9857411,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,-1.490116E-08,-1.199436E-10,0.7071069,1.199436E-10,0.9999999,3.392517E-10,-3.576279E-07,-0.006379061,1.134411,0.004151512,0.02601799,-0.1662029,0.9857483,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,0,7.832165E-11,0.7071068,-7.832166E-11,0.9999999,-2.215271E-10,-1.192093E-07,-0.006426495,1.134408,0.004094483,0.026285,-0.166002,0.9857751,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-1.192093E-07,0,2.805824E-09,0.7071069,-2.805825E-09,0.9999999,-7.936071E-09,-3.576279E-07,-0.006559189,1.134458,0.003971363,0.02690013,-0.1652047,0.9858924,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,0,-2.531491E-09,0.7071067,2.531491E-09,0.9999999,7.160137E-09,1.788139E-07,-0.006590292,1.134477,0.003929527,0.02708144,-0.1646128,0.9859864,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,1.490116E-08,-4.933433E-10,0.7071068,4.933433E-10,0.9999999,1.395386E-09,-1.192093E-07,-0.006629795,1.134483,0.003907163,0.02694029,-0.164367,0.9860313,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-1.192093E-07,0,-2.14706E-09,0.7071068,2.14706E-09,1,6.072803E-09,-1.192093E-07,-0.006738819,1.134505,0.003843164,0.02658896,-0.1636682,0.9861571,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,0,-0.05537038,-0.6920412,-0.05338718,-0.987511,0.1533763,0.03602631,-0.006797702,1.13449,0.003791306,0.0264859,-0.1636248,0.986167,-0.2258651,1.168378,0.3034288
1,1,-0.03249999,0,-1.490116E-08,-0.05537037,-0.6920412,-0.05338718,-0.987511,0.1533763,0.03602631,-0.006842808,1.134513,0.003739929,0.02616883,-0.1632392,0.9862394,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,0,-0.04148405,-0.4488205,-0.0208635,-0.799337,0.09276988,0.5936785,-0.006881178,1.134659,0.003698977,0.02605879,-0.1622743,0.9864016,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,0,-0.04148405,-0.4488205,-0.0208635,-0.799337,0.09276988,0.5936785,-0.006881178,1.134659,0.003698977,0.02605879,-0.1622743,0.9864016,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,-1.490116E-08,-0.04148404,-0.4488204,-0.02086349,-0.7993369,0.09276986,0.5936786,-0.006946385,1.134998,0.003558874,0.02568449,-0.1587643,0.9869823,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,-1.490116E-08,-0.04148404,-0.4488204,-0.02086349,-0.7993369,0.09276986,0.5936786,-0.006946385,1.134998,0.003558874,0.02568449,-0.1587643,0.9869823,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,-1.490116E-08,-0.04148404,-0.4488204,-0.02086349,-0.7993369,0.09276986,0.5936786,-0.006946385,1.134998,0.003558874,0.02568449,-0.1587643,0.9869823,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.2765158,0.04637612,-0.01336088,0.08163431,-0.5320371,0.8427766,-0.00913763,1.137397,0.002978265,-0.008093789,-0.1332585,0.9910483,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.2765158,0.04637612,-0.01336088,0.08163431,-0.5320371,0.8427766,-0.00913763,1.137397,0.002978265,-0.008093789,-0.1332585,0.9910483,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.2765158,0.04637612,-0.01336088,0.08163431,-0.5320371,0.8427766,-0.00913763,1.137397,0.002978265,-0.008093789,-0.1332585,0.9910483,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.2765158,0.04637612,-0.01336088,0.08163431,-0.5320371,0.8427766,-0.00913763,1.137397,0.002978265,-0.008093789,-0.1332585,0.9910483,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.2765158,0.04637612,-0.01336088,0.08163431,-0.5320371,0.8427766,-0.00913763,1.137397,0.002978265,-0.008093789,-0.1332585,0.9910483,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,1.490116E-08,0.1694831,-0.03359627,0.005781046,-0.06422127,-0.334251,0.9402936,-0.01058757,1.138287,0.002531469,-0.03133261,-0.1241557,0.9917679,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,1.490116E-08,0.1694831,-0.03359627,0.005781046,-0.06422127,-0.334251,0.9402936,-0.01058757,1.138287,0.002531469,-0.03133261,-0.1241557,0.9917679,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,7.450581E-09,0.2621576,-0.004488543,0.001219367,-0.00802368,-0.5059825,0.8625064,-0.01623836,1.140604,0.0005402644,-0.116719,-0.09810782,0.9883074,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-2.384186E-07,0,0.2621576,-0.004488544,0.001219367,-0.008023681,-0.5059825,0.8625064,-0.01798286,1.141395,-3.050547E-06,-0.1485826,-0.09085977,0.9847171,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,-1.490116E-08,-0.073415,0.1404934,0.01044699,0.2758845,0.1479008,0.9497437,-0.01795776,1.141434,-6.929412E-05,-0.1508201,-0.09130198,0.984336,-0.2258651,1.168378,0.3034288
1,1,-0.03249453,6.28233E-05,1.555681E-05,-2.007836E-06,0.7071717,2.008205E-06,1,5.679539E-06,-0.0001837015,-0.0194107,1.141916,-0.0005867151,-0.1773674,-0.08565594,0.98041,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-2.384186E-07,0,9.955559E-10,0.7071067,-9.955557E-10,0.9999999,-2.815857E-09,1.788139E-07,-0.02018797,1.142062,-0.0007851352,-0.189564,-0.08294613,0.9783586,-0.2258651,1.168378,0.3034288
1,1,-0.03247095,-5.722046E-05,1.118332E-05,0.0001073719,0.7072824,-0.0001074253,0.9999999,-0.0003037692,-0.0004968874,-0.0204385,1.142263,-0.0008840251,-0.1984361,-0.08183689,0.9766912,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-1.192093E-07,7.450581E-09,-0.4088801,0.5382847,0.3354223,0.432117,0.8976948,0.08613324,-0.02087793,1.142452,-0.0009733383,-0.2057485,-0.07980961,0.9753451,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-1.192093E-07,7.450581E-09,-0.4088802,0.5382847,0.3354223,0.432117,0.8976949,0.08613321,-0.02127133,1.14268,-0.001059256,-0.2117003,-0.07850415,0.9741766,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-1.192093E-07,7.450581E-09,-0.1842192,-0.5101362,-0.112883,-0.807802,0.421902,0.4116488,-0.02219455,1.142858,-0.001272575,-0.2227039,-0.07688482,0.9718496,-0.2258651,1.168378,0.3034288
1,1,-0.0325,-1.192093E-07,7.450581E-09,-0.1346887,-0.6088421,-0.1058703,-0.914665,0.3375689,0.2223404,-0.02209876,1.142687,-0.001259631,-0.2196472,-0.07860213,0.9724078,-0.2258651,1.168378,0.3034288
1,1,-0.0324865,-9.655952E-06,4.723668E-06,-0.1346814,-0.608745,-0.1058364,-0.9146253,0.3375177,0.222581,-0.02297382,1.142482,-0.001544802,-0.2306138,-0.07847828,0.9698755,-0.2258651,1.168378,0.3034288
1,1,-0.0325,1.192093E-07,-1.490116E-08,-3.550085E-10,0.7071068,3.550084E-10,1,1.004116E-09,-1.192093E-07,-0.0233591,1.142458,-0.001707182,-0.2348147,-0.0794557,0.9687873,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,7.450581E-09,-9.225284E-10,0.7071068,9.225286E-10,0.9999999,2.609305E-09,-1.192093E-07,-0.02372268,1.142396,-0.001834366,-0.238869,-0.08026689,0.9677287,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,0,1.254878E-09,0.7071068,-1.254878E-09,0.9999999,-3.549331E-09,-1.192093E-07,-0.02445443,1.142138,-0.002252433,-0.2472134,-0.08194489,0.9654898,-0.2258651,1.168378,0.3034288
1,1,-0.0325,0,-7.450581E-09,-2.187395E-10,0.7071069,2.187396E-10,0.9999999,6.186888E-10,-3.576279E-07,-0.02481716,1.142069,-0.002464101,-0.251746,-0.08271377,0.9642522,-0.2258651,1.168378,0.3034288
1,1,-0.03250001,0,-7.450581E-09,-0.5175318,0.2081328,0.1314419,0.205075,0.9029396,0.3776831,-0.02558653,1.141981,-0.002940092,-0.2609632,-0.0834287,0.9617369,-0.2258651,1.168378,0.3034288
