Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,-0.2258651,1.168378,0.3034288,-0.03736662,1.143883,-0.01153822,-0.2258651,1.168378,0.3034288
1,2,-0.1461726,0.8030242,0.3458092,-0.03826985,1.113152,-0.000266796,-0.1461726,0.8030242,0.3458092
1,3,0.4698329,1.362882,0.3109779,0.03227473,1.159663,-0.02014007,0.4698329,1.362882,0.3109779
1,4,0.3887665,1.312201,0.3591337,0.01584204,1.153426,-0.01148242,0.3887665,1.312201,0.3591337
1,5,-0.2036607,1.192838,0.4971538,-0.09351015,1.14143,0.00365205,-0.2036607,1.192838,0.4971538
1,6,-0.1010075,0.9711381,0.4833477,-0.08006866,1.127664,-0.0001774654,-0.1010075,0.9711381,0.4833477
1,7,-0.24143,1.03491,0.5240227,-0.1290504,1.130476,0.01361142,-0.24143,1.03491,0.5240227
1,8,-0.3648914,1.32539,0.5899019,-0.2075296,1.17428,0.1012163,-0.3648914,1.32539,0.5899019
1,9,-0.1723045,1.233573,0.3996314,-0.1190388,1.143381,-0.01097866,-0.1723045,1.233573,0.3996314
1,10,-0.4096977,0.5048496,0.5942221,-0.2318723,1.086982,0.323438,-0.4096977,0.5048496,0.5942221
1,11,0.1747337,1.315411,0.3121294,-0.01248138,1.152299,-0.06366201,0.1747337,1.315411,0.3121294
1,12,0.2142743,1.43915,0.5166245,-0.03113473,1.1948,0.1254638,0.2142743,1.43915,0.5166245
1,13,0.4058133,1.395147,0.400289,0.009514838,1.170278,0.09729667,0.4058133,1.395147,0.400289
1,14,-0.05782077,1.237381,0.5888803,-0.08804299,1.152052,0.1342535,-0.05782077,1.237381,0.5888803
1,15,0.3806675,1.147871,0.5136495,0.01306186,1.136233,0.04565633,0.3806675,1.147871,0.5136495
1,16,-0.009584755,0.9424829,0.5615208,-0.09461026,1.101335,0.08544769,-0.009584755,0.9424829,0.5615208
1,17,-0.3033849,1.091469,0.5852541,-0.1810222,1.125659,0.06770033,-0.3033849,1.091469,0.5852541
1,18,0.3231383,1.413135,0.5095761,-0.02817979,1.181195,0.1199239,0.3231383,1.413135,0.5095761
1,19,-0.171746,1.398659,0.5088848,-0.1454112,1.16591,0.06327599,-0.171746,1.398659,0.5088848
1,20,0.3531748,1.371975,0.5876263,-0.006679416,1.179793,0.2275829,0.3531748,1.371975,0.5876263
1,21,-0.3255098,1.382488,0.5333649,-0.1828548,1.197135,0.1539515,-0.3255098,1.382488,0.5333649
1,22,0.04624438,1.131064,0.5211027,-0.05689631,1.127407,0.07751393,0.04624438,1.131064,0.5211027
1,23,-0.03058839,0.6281699,0.4243587,-0.09971203,1.04995,0.1059827,-0.03058839,0.6281699,0.4243587
1,24,0.4328525,1.389283,0.5039561,0.01461446,1.203971,0.1701164,0.4328525,1.389283,0.5039561
1,25,-0.1211067,0.5052474,0.3066808,-0.09874418,0.9911456,0.2289853,-0.1211067,0.5052474,0.3066808
