Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,-0.0325,0,0,0.1580273,-0.1243579,0.02006597,-0.2372421,-0.3145243,0.919125,-0.00426944,1.172707,0.03326507,-0.0002711047,-0.2924687,0.956275,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1580273,-0.1243579,0.02006597,-0.2372421,-0.3145242,0.919125,-0.004136786,1.172731,0.03312951,-0.0001613912,-0.2914588,0.9565834,0.09014887,0.5756254,0.4765985
1,1,-0.03249998,1.192093E-07,-5.960464E-08,0.1580274,-0.1243579,0.02006597,-0.2372422,-0.3145243,0.9191249,-0.003829416,1.172834,0.0328147,-0.000174934,-0.2895605,0.9571597,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,2.980232E-08,0.1228452,-0.1365544,0.01706798,-0.2642284,-0.2461353,0.9325238,-0.003616825,1.172869,0.03264513,0.0004395712,-0.2889693,0.9573383,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,0,0.1228452,-0.1365544,0.01706798,-0.2642284,-0.2461353,0.9325238,-0.003464296,1.172914,0.0325281,0.001234189,-0.2880435,0.9576165,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,0,0.1223951,-0.145552,0.01814911,-0.2813,-0.2455651,0.9276681,-0.003109422,1.173049,0.0323741,0.003508337,-0.2864566,0.9580868,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,0,-2.980232E-08,0.1223951,-0.145552,0.0181491,-0.2812999,-0.2455651,0.9276682,-0.002955537,1.173109,0.03226161,0.004408432,-0.2860784,0.9581961,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1227058,-0.1539619,0.01927288,-0.297109,-0.2464965,0.922478,-0.002707671,1.173221,0.03195681,0.006099264,-0.2854353,0.9583786,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1227058,-0.1539619,0.01927287,-0.2971089,-0.2464964,0.9224781,-0.002560839,1.173282,0.03185892,0.006878301,-0.28448,0.9586573,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1533171,-0.1331233,0.02084901,-0.2542484,-0.3057296,0.9175441,-0.002333447,1.173512,0.03170026,0.007446955,-0.280641,0.9597839,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1417448,-0.1405582,0.020337,-0.2696338,-0.2834411,0.9203036,-0.002215713,1.17374,0.03165169,0.007087864,-0.277194,0.9607878,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1437178,-0.07955137,0.01159119,-0.1535989,-0.2853557,0.9460335,-0.002029061,1.174382,0.03155797,0.005719837,-0.268919,0.9631459,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1437178,-0.07955136,0.01159118,-0.1535989,-0.2853556,0.9460336,-0.002007365,1.174757,0.03151981,0.004464909,-0.2649682,0.9642468,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1437178,-0.07955136,0.01159118,-0.1535989,-0.2853557,0.9460336,-0.002137739,1.175193,0.03141813,0.003216926,-0.2613975,0.9652259,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1342721,-0.07665578,0.01041859,-0.1486617,-0.2668976,0.9521898,-0.002184618,1.175595,0.03128109,0.000479942,-0.2562832,0.9666016,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-2.384186E-07,5.960464E-08,0.120124,-0.02086464,0.00252519,-0.04081115,-0.2385602,0.9702698,-0.002142001,1.17587,0.03123369,-0.001038669,-0.2545654,0.967055,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.120124,-0.02086464,0.00252519,-0.04081115,-0.2385602,0.9702698,-0.002305433,1.175965,0.03113043,-0.003398239,-0.2535386,0.9673193,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,0,-2.980232E-08,0.1199974,-0.00671822,0.0008120557,-0.01314415,-0.2382661,0.9711109,-0.002378363,1.175914,0.03108362,-0.004081365,-0.2543464,0.9671046,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1094206,0.00945682,-0.00104107,0.01857138,-0.217537,0.9758754,-0.002508692,1.175499,0.03096212,-0.00419728,-0.2593707,0.9657687,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1094206,0.009456818,-0.001041069,0.01857138,-0.2175369,0.9758754,-0.002558008,1.175121,0.03090513,-0.003063237,-0.2637857,0.9645764,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1094863,0.001965141,-0.0002164577,0.003859249,-0.2176566,0.9760178,-0.00265108,1.174302,0.03084864,-0.001177975,-0.2726723,0.9621063,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1094863,0.001965142,-0.0002164579,0.00385925,-0.2176567,0.9760178,-0.002788372,1.173426,0.03087466,3.466452E-05,-0.2778208,0.9606329,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,-2.384186E-07,5.960464E-08,0.1094863,0.001965142,-0.0002164578,0.00385925,-0.2176566,0.9760178,-0.002896223,1.172855,0.03080638,0.001642734,-0.2843667,0.9587142,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,-1.192093E-07,0,0.1273355,-0.07798386,0.01004322,-0.1516535,-0.2533693,0.9554084,-0.00314058,1.171757,0.03078014,0.005846363,-0.29718,0.9548036,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1273355,-0.07798386,0.01004322,-0.1516535,-0.2533694,0.9554084,-0.003269378,1.171114,0.03081843,0.008150307,-0.3031853,0.9528968,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1438297,-0.1082202,0.01582577,-0.2083253,-0.2863499,0.9352028,-0.003492087,1.170741,0.03086089,0.0117867,-0.3070321,0.9516262,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1438297,-0.1082202,0.01582577,-0.2083253,-0.2863499,0.9352028,-0.003492087,1.170741,0.03086089,0.0117867,-0.3070321,0.9516262,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-5.960464E-08,0.1361016,-0.1072692,0.01482547,-0.207233,-0.2712352,0.9399393,-0.003707297,1.170252,0.03090422,0.01453749,-0.3105756,0.9504375,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,0,0.1365966,-0.08060978,0.0111529,-0.1561217,-0.2715158,0.9496869,-0.004800629,1.168514,0.03158614,0.02799876,-0.3245677,0.945448,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1365966,-0.08060978,0.0111529,-0.1561217,-0.2715158,0.9496869,-0.005022404,1.168165,0.03163589,0.03016813,-0.3246596,0.9453497,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1369022,-0.04786559,0.006623073,-0.09290352,-0.2715375,0.9579334,-0.005466804,1.167549,0.03173853,0.03440643,-0.3290662,0.9436799,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1388989,-0.07074037,0.009947853,-0.1369808,-0.2757958,0.9514058,-0.005638078,1.167213,0.03167687,0.03682826,-0.3316328,0.9426894,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-8.940697E-08,0.1388989,-0.07074037,0.009947851,-0.1369808,-0.2757957,0.9514058,-0.005989354,1.166673,0.03178569,0.04103807,-0.3367553,0.9406975,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1389794,-0.04852772,0.006818802,-0.09410045,-0.2755859,0.9566596,-0.006137002,1.16663,0.03187482,0.04276776,-0.3378457,0.9402293,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,-2.980232E-08,0.1389794,-0.04852771,0.006818802,-0.09410044,-0.2755859,0.9566596,-0.006224498,1.166593,0.03194771,0.0439757,-0.3384277,0.9399642,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1386364,-0.04853444,0.006802584,-0.09412757,-0.2749192,0.9568487,-0.006435048,1.166352,0.03198463,0.04561082,-0.3398175,0.9393848,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,5.960464E-08,0.157324,-0.04959663,0.007911369,-0.09534196,-0.3111123,0.9455787,-0.006692674,1.166257,0.03206446,0.04894022,-0.3418831,0.9384673,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,5.960464E-08,0.157324,-0.04959663,0.007911367,-0.09534194,-0.3111123,0.9455787,-0.006830722,1.166247,0.0321819,0.05020595,-0.3421106,0.9383175,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1573239,-0.04959663,0.007911366,-0.09534195,-0.3111123,0.9455787,-0.006954607,1.166285,0.03238354,0.05117384,-0.3419803,0.9383127,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,-2.980232E-08,0.1605387,-0.06635129,0.01081705,-0.1272041,-0.3176125,0.9396496,-0.007257503,1.1664,0.03295406,0.05260151,-0.3420209,0.938219,0.09014887,0.5756254,0.4765985
1,1,-0.0326445,-5.960464E-07,0.0001700819,0.1596124,-0.0884336,0.01435766,-0.1692959,-0.3163712,0.9334068,-0.007667147,1.166319,0.03341184,0.05299092,-0.3421954,0.9381334,0.09014887,0.5756254,0.4765985
1,1,-0.03252563,1.180172E-05,3.457069E-05,0.1596644,-0.08851335,0.01437552,-0.1694427,-0.3164738,0.9333454,-0.008319632,1.166007,0.03410348,0.05291232,-0.3432889,0.9377382,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,2.980232E-08,0.1483566,-0.06548763,0.009846337,-0.1263136,-0.2940607,0.9474034,-0.008678418,1.165854,0.03458662,0.05218744,-0.3436993,0.9376285,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,1.192093E-07,0,0.1481506,-0.08285939,0.01245743,-0.1596096,-0.2940422,0.9423714,-0.009466566,1.165546,0.03564723,0.05005438,-0.3441749,0.9375704,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1481506,-0.0828594,0.01245744,-0.1596096,-0.2940422,0.9423714,-0.009908266,1.165298,0.03613713,0.04838498,-0.3449455,0.9373748,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,0,0.1442064,-0.08252386,0.01206912,-0.1592606,-0.2863748,0.9447886,-0.01079261,1.164797,0.03710914,0.04439829,-0.3485363,0.9362432,0.09014887,0.5756254,0.4765985
1,1,-0.03249751,5.960464E-06,-2.041459E-05,0.1442744,-0.08255859,0.01208004,-0.1593221,-0.2865077,0.944738,-0.01119168,1.164556,0.03765739,0.0421891,-0.3505347,0.935599,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,-1.192093E-07,2.980232E-08,0.1533993,-0.08336303,0.01298842,-0.1601663,-0.304226,0.9390385,-0.01166175,1.164393,0.03828863,0.03958794,-0.3524143,0.9350064,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,0,0,0.1442807,-0.08478969,0.01240949,-0.1635937,-0.2865739,0.9439875,-0.01255763,1.163915,0.03943271,0.03432459,-0.355538,0.9340314,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1442808,-0.08478969,0.0124095,-0.1635937,-0.2865739,0.9439875,-0.01303287,1.16363,0.03993951,0.03205567,-0.3574134,0.933396,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,2.980232E-08,0.1512149,-0.06455002,0.009896088,-0.1243439,-0.2995766,0.9459347,-0.01386665,1.162959,0.04092668,0.02860162,-0.3619257,0.9317681,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1512149,-0.06455002,0.00989609,-0.1243439,-0.2995766,0.9459347,-0.01426177,1.162607,0.04135175,0.02768421,-0.3644036,0.9308295,0.09014887,0.5756254,0.4765985
1,1,-0.03246374,-2.145767E-06,-2.205372E-06,0.1512186,-0.04693289,0.007187984,-0.09050535,-0.2992889,0.9498605,-0.01491484,1.161925,0.04215008,0.02690377,-0.3694366,0.9288664,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,-2.980232E-08,0.1513561,-0.03228288,0.004945858,-0.06228991,-0.2993807,0.9520983,-0.01522892,1.161607,0.04253505,0.02716534,-0.3719533,0.9278539,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1513561,-0.03228289,0.004945859,-0.06228992,-0.2993807,0.9520983,-0.01545044,1.161256,0.04285785,0.02800705,-0.3740737,0.926976,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,-1.192093E-07,0,0.1615241,-0.03414639,0.005592292,-0.065548,-0.3189921,0.945488,-0.01580457,1.160719,0.04366186,0.03049891,-0.377489,0.9255117,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-2.980232E-08,0.1615241,-0.03414638,0.005592291,-0.06554798,-0.3189921,0.945488,-0.015982,1.160376,0.04401597,0.03198818,-0.3785686,0.9250203,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,0,0.1618891,-0.05558376,0.009133579,-0.106565,-0.3200016,0.9414048,-0.01641946,1.159658,0.04477177,0.03474016,-0.3816833,0.9236401,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,0,0.161889,-0.05558376,0.009133576,-0.106565,-0.3200015,0.9414048,-0.01665804,1.15932,0.04522821,0.03602802,-0.3835219,0.9228288,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1616055,-0.08003745,0.01315127,-0.1531857,-0.3199886,0.9349553,-0.01719351,1.158576,0.04627229,0.03755549,-0.386664,0.9214557,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1619794,-0.05379524,0.008843835,-0.1031425,-0.3201438,0.9417375,-0.0174913,1.158282,0.04684686,0.03774044,-0.3881579,0.9208198,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,0,-2.980232E-08,0.1514943,-0.09673164,0.01489862,-0.1857765,-0.3009021,0.9353849,-0.01818848,1.15765,0.04817923,0.037716,-0.3916194,0.919354,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,5.960464E-08,0.1514942,-0.09673163,0.01489861,-0.1857765,-0.300902,0.935385,-0.01848939,1.157448,0.04900573,0.03728238,-0.3933332,0.9186398,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,1.192093E-07,-5.960464E-08,0.1514943,-0.09673166,0.01489862,-0.1857766,-0.3009022,0.9353849,-0.01889132,1.157206,0.04983738,0.03663084,-0.3949893,0.9179552,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1514943,-0.09673164,0.01489861,-0.1857765,-0.3009021,0.9353849,-0.01978517,1.156536,0.05164593,0.03406723,-0.3978064,0.9168367,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1514943,-0.09673166,0.01489862,-0.1857765,-0.3009021,0.9353849,-0.02029247,1.15612,0.05252311,0.03245621,-0.3996748,0.9160822,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,0,0.1581629,-0.08660982,0.01392816,-0.1659572,-0.3135218,0.9349664,-0.02133808,1.155242,0.05430404,0.02870615,-0.4044267,0.9141198,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,2.980232E-08,0.1581629,-0.0866098,0.01392815,-0.1659571,-0.3135218,0.9349664,-0.02181723,1.154789,0.05521284,0.02658275,-0.4069238,0.9130753,0.09014887,0.5756254,0.4765985
1,1,-0.0325,-1.192093E-07,0,0.1500786,-0.08587867,0.01308681,-0.1652272,-0.2978576,0.9402025,-0.02278195,1.154065,0.05680698,0.02277369,-0.4118655,0.91096,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,0,2.980232E-08,0.1500786,-0.08587867,0.01308681,-0.1652272,-0.2978576,0.9402025,-0.02324341,1.153688,0.05758158,0.02085095,-0.4140274,0.9100256,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,0,-2.980232E-08,0.1581723,-0.08660948,0.01392895,-0.1659557,-0.31354,0.9349606,-0.02364172,1.153381,0.05835367,0.0190929,-0.4163519,0.909003,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,-1.192093E-07,-2.980232E-08,0.1504479,-0.0718381,0.01096198,-0.1383582,-0.2982413,0.9444094,-0.02420353,1.152736,0.05984828,0.01624304,-0.4205105,0.9071423,0.09014887,0.5756254,0.4765985
1,1,-0.0325,2.384186E-07,2.980232E-08,0.150448,-0.0718381,0.01096198,-0.1383582,-0.2982413,0.9444094,-0.02443984,1.15239,0.06047871,0.01511513,-0.4226823,0.9061519,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,-1.192093E-07,2.980232E-08,0.1724516,-0.07370248,0.01294082,-0.1403136,-0.3406616,0.9296568,-0.02478202,1.151836,0.06159913,0.01459591,-0.4269659,0.9041499,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,0,-2.980232E-08,0.1724516,-0.07370246,0.01294082,-0.1403136,-0.3406616,0.9296568,-0.02493544,1.151488,0.06209455,0.01522975,-0.4290574,0.9031488,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,-2.980232E-08,0.1720496,-0.1347199,0.02375958,-0.2546746,-0.3420856,0.9044989,-0.02516826,1.150923,0.06302355,0.01716243,-0.4323403,0.9015472,0.09014887,0.5756254,0.4765985
1,1,-0.03258023,5.960464E-06,4.333258E-05,0.1720347,-0.1347007,0.023754,-0.2546412,-0.3420558,0.9045196,-0.02529534,1.150673,0.06332505,0.01870309,-0.4334401,0.9009883,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,1.192093E-07,0,0.1720496,-0.1347199,0.02375958,-0.2546746,-0.3420856,0.9044989,-0.02528721,1.150319,0.06398662,0.02101649,-0.4356686,0.8998618,0.09014887,0.5756254,0.4765985
1,1,-0.0325,0,2.980232E-08,0.1681308,-0.1084058,0.01860573,-0.2061341,-0.3334388,0.9199605,-0.02527403,1.150199,0.0642662,0.02204706,-0.4364101,0.8994777,0.09014887,0.5756254,0.4765985
1,1,-0.0325,1.192093E-07,-1.192093E-07,0.1681308,-0.1084058,0.01860574,-0.2061342,-0.3334389,0.9199604,-0.02532625,1.150116,0.06452254,0.02315406,-0.4372733,0.8990306,0.09014887,0.5756254,0.4765985
1,1,-0.03249999,0,0,0.1678618,-0.1021002,0.0174822,-0.1943194,-0.3326976,0.9227959,-0.02542521,1.14992,0.06496362,0.02499578,-0.4381333,0.8985624,0.09014887,0.5756254,0.4765985
1,1,-0.03250001,1.192093E-07,-5.960464E-08,0.1325291,-0.07216429,0.009675117,-0.1401045,-0.2634067,0.9544567,-0.02547591,1.149858,0.065158,0.02567913,-0.438235,0.8984936,0.09014887,0.5756254,0.4765985
1,2,-0.0325,0,2.980232E-08,0.1369893,-0.09168731,0.01273545,-0.1773618,-0.2725435,0.9456547,-0.02014513,1.15564,0.03915094,0.008090807,-0.3801537,0.924888,0.3253506,0.5193977,0.3246267
1,2,-0.0325,1.192093E-07,0,0.1369893,-0.09168731,0.01273545,-0.1773618,-0.2725435,0.9456547,-0.02008642,1.155685,0.03899142,0.008701472,-0.3799946,0.9249477,0.3253506,0.5193977,0.3246267
1,2,-0.0325,-1.192093E-07,0,0.1373817,-0.07723264,0.01074527,-0.1495734,-0.2729734,0.9503227,-0.01999696,1.155825,0.0386983,0.009712402,-0.3798941,0.924979,0.3253506,0.5193977,0.3246267
1,2,-0.0325,-2.384186E-07,2.980232E-08,0.1335183,-0.07690211,0.01039251,-0.1491839,-0.2654314,0.9525179,-0.01993204,1.15591,0.03861552,0.01007133,-0.3795591,0.9251127,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,0,5.960464E-08,0.1335183,-0.07690213,0.01039251,-0.149184,-0.2654315,0.9525179,-0.01983945,1.156031,0.03847077,0.0109079,-0.3789006,0.9253731,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,0,0,0.1551042,-0.08098321,0.01275872,-0.1554965,-0.3074637,0.9387688,-0.01981746,1.155998,0.03844612,0.01122656,-0.3787448,0.925433,0.3253506,0.5193977,0.3246267
1,2,-0.0325,0,0,0.1695404,-0.09696753,0.0167652,-0.1844876,-0.3357534,0.9237067,-0.01976041,1.155934,0.03835756,0.01168967,-0.3787408,0.9254289,0.3253506,0.5193977,0.3246267
1,2,-0.0325,0,0,0.1695404,-0.09696753,0.0167652,-0.1844876,-0.3357534,0.9237067,-0.01972507,1.155889,0.03829954,0.01181269,-0.3788696,0.9253747,0.3253506,0.5193977,0.3246267
1,2,-0.03249998,1.192093E-07,0,0.17057,-0.08592657,0.01493309,-0.1635758,-0.3373879,0.927045,-0.0196839,1.155839,0.03825058,0.01161093,-0.3788565,0.9253826,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,0,5.960464E-08,0.17057,-0.08592656,0.01493308,-0.1635758,-0.3373878,0.927045,-0.01962949,1.155765,0.03816631,0.01097352,-0.3788874,0.9253777,0.3253506,0.5193977,0.3246267
1,2,-0.0325,0,5.960464E-08,0.160604,-0.08006264,0.01307172,-0.1533132,-0.3180588,0.9355927,-0.01960795,1.15577,0.03814432,0.01062146,-0.3790831,0.9253017,0.3253506,0.5193977,0.3246267
1,2,-0.0325,0,-2.980232E-08,0.1330776,-0.1004854,0.01356353,-0.1945282,-0.2651297,0.9443861,-0.01957553,1.155736,0.03815067,0.0101649,-0.3793106,0.9252136,0.3253506,0.5193977,0.3246267
1,2,-0.0325,1.192093E-07,0,0.1330777,-0.1004854,0.01356353,-0.1945281,-0.2651298,0.9443861,-0.01952286,1.155744,0.03819105,0.01050708,-0.3797629,0.9250242,0.3253506,0.5193977,0.3246267
1,2,-0.03249998,2.384186E-07,-5.960464E-08,0.1237746,-0.09936646,0.01245795,-0.1931139,-0.2468672,0.9496123,-0.01931203,1.155702,0.03827312,0.01255249,-0.3813851,0.924331,0.3253506,0.5193977,0.3246267
1,2,-0.03249999,0,-2.980232E-08,0.1237746,-0.09936644,0.01245795,-0.1931139,-0.2468672,0.9496123,-0.01910065,1.155616,0.03829049,0.01498209,-0.3829514,0.923647,0.3253506,0.5193977,0.3246267
1,2,-0.03249999,1.192093E-07,-2.980232E-08,0.118518,-0.08493853,0.01017603,-0.1656405,-0.2362189,0.9574779,-0.01883671,1.155472,0.0382574,0.01854922,-0.3849488,0.9227515,0.3253506,0.5193977,0.3246267
1,2,-0.0325,-1.192093E-07,5.960464E-08,0.1190044,-0.07704734,0.009262929,-0.150327,-0.2370219,0.9598033,-0.01818017,1.155071,0.03816778,0.02740318,-0.3896058,0.9205739,0.3253506,0.5193977,0.3246267
1,2,-0.0325,-1.192093E-07,2.980232E-08,0.1190044,-0.07704735,0.009262931,-0.150327,-0.2370219,0.9598033,-0.01754172,1.154697,0.03803929,0.03334102,-0.3926653,0.9190769,0.3253506,0.5193977,0.3246267
1,2,-0.0325,0,0,0.1193799,-0.06985783,0.008420868,-0.1363571,-0.2376329,0.9617366,-0.01653871,1.154165,0.03781996,0.04650173,-0.3994748,0.915564,0.3253506,0.5193977,0.3246267
1,2,-0.03249998,1.192093E-07,-5.960464E-08,0.11938,-0.06985784,0.008420871,-0.1363571,-0.2376329,0.9617366,-0.01592642,1.153828,0.03766657,0.05526707,-0.4031979,0.9134424,0.3253506,0.5193977,0.3246267
1,2,-0.0325,0,0,0.1466417,-0.0265733,0.003940791,-0.0513969,-0.2902153,0.9555802,-0.01480975,1.15288,0.03716171,0.07434468,-0.4110294,0.9085855,0.3253506,0.5193977,0.3246267
1,2,-0.03248458,-9.775162E-06,2.43783E-05,0.1466732,-0.02658493,0.003943386,-0.05141864,-0.2902765,0.9555604,-0.01418266,1.152227,0.03687108,0.08504257,-0.4154029,0.9056535,0.3253506,0.5193977,0.3246267
1,2,-0.0325,-1.192093E-07,-2.980232E-08,0.1093396,-0.006833567,0.000751704,-0.01342048,-0.2173731,0.9759963,-0.01304101,1.150906,0.03627149,0.1063448,-0.4237414,0.8995187,0.3253506,0.5193977,0.3246267
1,2,-0.03253625,-2.396107E-05,6.228685E-06,0.1185207,-0.006746055,0.0008052412,-0.01320582,-0.2353759,0.9718147,-0.01249849,1.150347,0.03602075,0.1166911,-0.4272999,0.8965478,0.3253506,0.5193977,0.3246267
1,2,-0.03249999,0,2.980232E-08,0.1186233,-0.00688775,0.0008228779,-0.01348268,-0.2355772,0.9717621,-0.01191384,1.149789,0.03572623,0.1261494,-0.4301904,0.8938806,0.3253506,0.5193977,0.3246267
1,2,-0.0325,1.192093E-07,-8.940697E-08,0.1172163,0.05968564,-0.00705763,0.1166766,-0.2332323,0.9653959,-0.01082859,1.148771,0.03525798,0.1437256,-0.4338365,0.8894542,0.3253506,0.5193977,0.3246267
1,2,-0.03249999,0,5.960464E-08,0.1172163,0.05968563,-0.007057629,0.1166765,-0.2332323,0.9653959,-0.01039335,1.148442,0.0350627,0.1519986,-0.4355527,0.8872374,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,0,5.960464E-08,0.1171769,0.05965006,-0.007050999,0.1166089,-0.2331544,0.9654229,-0.009577452,1.14753,0.03473143,0.1658158,-0.4373655,0.8838646,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,-1.192093E-07,2.980232E-08,0.1170141,0.03711411,-0.004376015,0.07264196,-0.2325808,0.9698605,-0.009171389,1.147142,0.03469364,0.1718127,-0.4374702,0.8826665,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,-2.384186E-07,1.192093E-07,0.1172866,0.02037518,-0.002406859,0.03989589,-0.2330027,0.9716574,-0.008403476,1.14646,0.03448202,0.1803161,-0.4384381,0.8804874,0.3253506,0.5193977,0.3246267
1,2,-0.03250001,-1.192093E-07,0,0.1172866,0.02037518,-0.002406858,0.03989588,-0.2330027,0.9716574,-0.008068297,1.146161,0.03420108,0.1836281,-0.4403765,0.878834,0.3253506,0.5193977,0.3246267
