Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,0.09014887,0.5756254,0.4765985,-0.02547591,1.149858,0.065158,0.09014887,0.5756254,0.4765985
1,2,0.3253506,0.5193977,0.3246267,-0.007065002,1.140198,0.037569,0.3253506,0.5193977,0.3246267
1,3,0.42484,1.490905,0.4543397,0.00516857,1.242263,0.007787276,0.42484,1.490905,0.4543397
1,4,0.0008355379,0.7382199,0.5810789,-0.03963575,1.153451,0.06165612,0.0008355379,0.7382199,0.5810789
1,5,0.00660646,0.985092,0.3636453,-0.03955602,1.170386,0.02301756,0.00660646,0.985092,0.3636453
1,6,-0.4592781,1.039901,0.5153699,-0.1349029,1.194468,0.01026478,-0.4592781,1.039901,0.5153699
1,7,0.3228867,1.106751,0.4381355,-0.006406169,1.183677,0.0001572752,0.3228867,1.106751,0.4381355
1,8,0.4627076,0.6090058,0.3021911,0.02982032,1.145512,0.006321071,0.4627076,0.6090058,0.3021911
1,9,0.2010233,0.735437,0.4071975,-0.03377078,1.150716,0.01459536,0.2010233,0.735437,0.4071975
1,10,0.1629264,1.167563,0.4599175,-0.04080336,1.185261,0.01204067,0.1629264,1.167563,0.4599175
1,11,0.1708544,1.014762,0.4474272,-0.04891831,1.174334,0.008560374,0.1708544,1.014762,0.4474272
1,12,-0.1012552,1.267432,0.3917395,-0.07351798,1.200051,-0.01269926,-0.1012552,1.267432,0.3917395
1,13,0.4941919,0.9311191,0.5875059,0.0004542805,1.172104,0.06845242,0.4941919,0.9311191,0.5875059
1,14,-0.3740208,0.8919355,0.3293298,-0.1211555,1.175019,-0.005463498,-0.3740208,0.8919355,0.3293298
1,15,0.1489465,0.7144339,0.4905266,-0.03602535,1.1628,0.01759573,0.1489465,0.7144339,0.4905266
1,16,0.4981664,1.264898,0.3880619,-0.01162381,1.211223,-0.03767913,0.4981664,1.264898,0.3880619
1,17,0.4298993,1.425076,0.509985,0.009981388,1.226357,0.006761264,0.4298993,1.425076,0.509985
1,18,0.2589349,1.49201,0.517494,-0.01401834,1.229798,0.0051442,0.2589349,1.49201,0.517494
1,19,0.4976261,0.6008629,0.4565555,0.02170857,1.130412,0.04949677,0.4976261,0.6008629,0.4565555
1,20,0.4786981,0.530743,0.5859886,0.07135736,1.072219,0.2590719,0.4786981,0.530743,0.5859886
1,21,-0.1901223,0.5127238,0.3574257,-0.1695335,1.035907,0.1205937,-0.1901223,0.5127238,0.3574257
1,22,0.2560067,1.196827,0.4960965,-0.03908602,1.19399,0.003541285,0.2560067,1.196827,0.4960965
1,23,-0.01680452,1.209108,0.5290427,-0.06018159,1.18391,0.008464702,-0.01680452,1.209108,0.5290427
1,24,0.3794211,1.396535,0.4269754,-0.02608106,1.191947,-0.009448893,0.3794211,1.396535,0.4269754
1,25,0.4436066,1.414173,0.3111171,-0.01107546,1.203686,-0.03697715,0.4436066,1.414173,0.3111171
1,26,-0.08541721,0.8819754,0.4770509,-0.07527027,1.140392,0.02889227,-0.08541721,0.8819754,0.4770509
1,27,0.3448125,0.5957358,0.5310112,-0.008693304,1.104721,0.09390478,0.3448125,0.5957358,0.5310112
1,28,-0.4924983,0.8971086,0.5094963,-0.132756,1.156469,0.06606184,-0.4924983,0.8971086,0.5094963
1,29,0.4997973,1.323662,0.5555454,0.02954214,1.220879,0.04693845,0.4997973,1.323662,0.5555454
1,30,-0.2200775,1.128787,0.3214663,-0.07754309,1.178503,-0.019967,-0.2200775,1.128787,0.3214663
1,31,0.08170426,0.7855011,0.3472486,-0.04812533,1.141902,0.003657981,0.08170426,0.7855011,0.3472486
1,32,-0.3740061,1.041591,0.5228387,-0.1203116,1.168449,0.0180753,-0.3740061,1.041591,0.5228387
1,33,0.1157136,0.8906463,0.3633169,-0.04787326,1.157468,-0.006593479,0.1157136,0.8906463,0.3633169
1,34,-0.2268431,1.260283,0.4809203,-0.1125587,1.198723,-0.03756051,-0.2268431,1.260283,0.4809203
1,35,-0.1637033,0.6235648,0.5929297,-0.08133572,1.134567,0.08543802,-0.1637033,0.6235648,0.5929297
1,36,0.2730425,0.8698295,0.3212823,-0.01101854,1.150445,0.003773968,0.2730425,0.8698295,0.3212823
1,37,-0.4453651,0.7975333,0.395789,-0.1395482,1.14441,0.02446343,-0.4453651,0.7975333,0.395789
1,38,-0.04685327,0.7728544,0.5160272,-0.06769838,1.145859,0.02414855,-0.04685327,0.7728544,0.5160272
1,39,-0.2438549,1.282961,0.3662188,-0.1128591,1.21239,-0.06162289,-0.2438549,1.282961,0.3662188
1,40,-0.1165514,1.331694,0.4894398,-0.08417214,1.204529,-0.03958073,-0.1165514,1.331694,0.4894398
1,41,0.2395565,1.312772,0.4682266,-0.05356383,1.190565,-0.02445366,0.2395565,1.312772,0.4682266
1,42,0.02788919,0.8386847,0.4330218,-0.05933233,1.164002,-0.01648226,0.02788919,0.8386847,0.4330218
1,43,-0.206192,1.416716,0.5710156,-0.09721666,1.239425,-0.002282459,-0.206192,1.416716,0.5710156
1,44,-0.3517185,0.9995567,0.4199868,-0.1154793,1.168386,-0.01299621,-0.3517185,0.9995567,0.4199868
1,45,-0.0403564,0.6662768,0.3369768,-0.06941728,1.127871,0.006588216,-0.0403564,0.6662768,0.3369768
1,46,-0.1083243,0.799269,0.5963064,-0.08769039,1.143868,0.03905644,-0.1083243,0.799269,0.5963064
1,47,0.1957238,0.5180709,0.3999286,-0.02398089,1.11904,0.03050693,0.1957238,0.5180709,0.3999286
1,48,-0.1984246,1.061104,0.3632585,-0.1021739,1.169188,-0.005224495,-0.1984246,1.061104,0.3632585
1,49,0.2055501,1.238607,0.4458696,-0.0606492,1.186298,-0.0127402,0.2055501,1.238607,0.4458696
1,50,-0.3424647,0.5216925,0.4674089,-0.1456123,1.087799,0.153448,-0.3424647,0.5216925,0.4674089
2,51,0.2782148,0.7386564,0.5804876,-0.01268507,1.140368,0.04085185,0.2782148,0.7386564,0.5804876
2,52,-0.4552436,0.6336502,0.4909863,-0.2223637,1.097968,0.1476712,-0.4552436,0.6336502,0.4909863
2,53,0.3744693,1.434279,0.3305601,-0.03719947,1.208485,-0.09532606,0.3744693,1.434279,0.3305601
2,54,-0.3291508,0.8434358,0.4540251,-0.1487777,1.150146,-0.009794321,-0.3291508,0.8434358,0.4540251
2,55,-0.05140242,0.9523512,0.3403476,-0.07199796,1.151081,-0.0184757,-0.05140242,0.9523512,0.3403476
2,56,-0.2108412,0.8089697,0.4158004,-0.09933469,1.146944,-0.007059642,-0.2108412,0.8089697,0.4158004
